"location","user_id","status_id","created_at","screen_name","text","source","retweet_count","country","country_code","bbox_coords","hashtags","coords_coords","geo_coords"
"Cascadia",,,"2020-06-21 15:47:48","SciBasedNutr","#AntiVegan is a cult. #ProGMO is a cult. #antivegancult #progmocult #gmo #vegan #rdchat","Twitter Web App",1,"","","NA NA NA NA NA NA NA NA","AntiVegan ProGMO antivegancult progmocult gmo vegan rdchat","NA NA","NA NA"
"INDIANA",,,"2020-06-21 13:14:13","joeclouser","My 8 year old son

""I am so glad I was born out of your tummy mum. I could have had a vegan mum. What a disaster that would have been for my health""

Wow. I think he has been listening.

#yes2meat
#antivegan","Twitter for Android",7,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"","xx1021103464590454784",,"2020-06-21 13:06:13","KemMinnick","My 8 year old son

""I am so glad I was born out of your tummy mum. I could have had a vegan mum. What a disaster that would have been for my health""

Wow. I think he has been listening.

#yes2meat
#antivegan","Twitter for iPhone",7,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"Southeast USA",,,"2020-06-21 08:08:55","StickmanBleedin","My 8 year old son

""I am so glad I was born out of your tummy mum. I could have had a vegan mum. What a disaster that would have been for my health""

Wow. I think he has been listening.

#yes2meat
#antivegan","Twitter Web App",7,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"Mumbai, Maharashtra",,,"2020-06-21 07:14:33","ektat","My 8 year old son

""I am so glad I was born out of your tummy mum. I could have had a vegan mum. What a disaster that would have been for my health""

Wow. I think he has been listening.

#yes2meat
#antivegan","Twitter for iPhone",7,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"",,,"2020-06-21 07:00:41","julestw9","My 8 year old son

""I am so glad I was born out of your tummy mum. I could have had a vegan mum. What a disaster that would have been for my health""

Wow. I think he has been listening.

#yes2meat
#antivegan","Twitter for Android",7,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"UK","xx1575883837",,"2020-06-21 06:58:01","ZeroCarbSarah","My 8 year old son

""I am so glad I was born out of your tummy mum. I could have had a vegan mum. What a disaster that would have been for my health""

Wow. I think he has been listening.

#yes2meat
#antivegan","Twitter for Android",7,"","","NA NA NA NA NA NA NA NA","yes2meat antivegan","NA NA","NA NA"
"UK","xx1575883837",,"2020-06-16 06:50:02","ZeroCarbSarah","@JayneBuxton2 @Engineer4Health @dannyketo88 Wonderful!
Can't wait to read it!

#yes2meat
#carnivorediet 
#keto
#antivegan","Twitter for Android",0,"","","NA NA NA NA NA NA NA NA","yes2meat carnivorediet keto antivegan","NA NA","NA NA"
"Gurgaon, India",,,"2020-06-18 23:17:35","AnjaliLal14","""Given that most of us would probably like to see less suffering in the world, why is there such resentment towards those who do something about it?""

https://t.co/HJqeYAyoOu

#vegan #antivegan #veganism #AnimalCruelty","Twitter for Android",0,"","","NA NA NA NA NA NA NA NA","vegan antivegan veganism AnimalCruelty","NA NA","NA NA"
"Helsinki, Finland",,,"2020-06-18 09:57:17","kasvismafioso","Dem antivegans! When you have zero arguments, but you have to hate people who don't want to hurt anyone, you can always compare factory farming to predators in the wild. <U+0001F926><U+0001F926><U+0001F926>

--&gt; https://t.co/9NYmCS5HV6

#PiersMorgan #antivegan #vegan #govegan https://t.co/gxW5e53fYO","Twitter for Android",1,"","","NA NA NA NA NA NA NA NA","PiersMorgan antivegan vegan govegan","NA NA","NA NA"
"Plainfield, IL",,,"2020-06-22 19:36:55","marielanstewart","Carnivore lunch <U+0001F60B> #keto <U+2060>#carnivore <U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
______
#exvegan
 #carnivorewomen 
#yes2meat 
#ketogirl 
#fatburning 
#keto 
#biohacking
#ketosis 
#meatheals 
#teamcarnivore 
#zerocarb 
#ketodiet
#ketogenicâ€¦ https://t.co/iglGPWXwwO","Instagram",0,"","","NA NA NA NA NA NA NA NA","keto carnivore exvegan carnivorewomen yes2meat ketogirl fatburning keto biohacking ketosis meatheals teamcarnivore zerocarb ketodiet ketogenic","NA NA","NA NA"
"Plainfield, IL",,,"2020-06-22 00:22:06","marielanstewart","Fatherâ€™s Day rib spread<U+0001F60B> #keto <U+2060>#carnivore <U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
______
#exvegan
 #carnivorewomen 
#yes2meat 
#ketogirl 
#fatburning 
#keto 
#biohacking
#ketosis 
#meatheals 
#teamcarnivore 
#zerocarbâ€¦ https://t.co/QmjdwKmgqX","Instagram",0,"","","NA NA NA NA NA NA NA NA","keto carnivore exvegan carnivorewomen yes2meat ketogirl fatburning keto biohacking ketosis meatheals teamcarnivore zerocarb","NA NA","NA NA"
"Plainfield, IL",,,"2020-06-18 02:08:02","marielanstewart","Salmon for dinner <U+0001F60B> #keto <U+2060>#carnivore <U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
<U+2060>
______
#exvegan
 #carnivorewomen 
#yes2meat 
#ketogirl 
#fatburning 
#keto 
#biohacking
#ketosis 
#meatheals 
#teamcarnivore 
#zerocarb 
#ketodiet
#ketogenicâ€¦ https://t.co/GEbLOuxfPE","Instagram",0,"","","NA NA NA NA NA NA NA NA","keto carnivore exvegan carnivorewomen yes2meat ketogirl fatburning keto biohacking ketosis meatheals teamcarnivore zerocarb ketodiet ketogenic","NA NA","NA NA"
"Ireland","xx1133610576","xx1275013847825481729","2020-06-22 10:32:44","MarymoBelfast","A final vlog on Jon Venus.

#ExVegan #hunting #vegan #vegans #plantbased #veganism #LGBTQ #ToxicMasculinity
#realmen

https://t.co/AgAeJBRIJc","Twitter Web App",4,"","","NA NA NA NA NA NA NA NA","ExVegan hunting vegan vegans plantbased veganism LGBTQ ToxicMasculinity realmen","NA NA","NA NA"
"","xx1181551215072727047",,"2020-06-19 07:44:28","VeganBot1","Ozzie Anxiety the vegan talks about ex-vegan Jon Venus.

#vegan #veganism #JonVenus #exvegan  

https://t.co/OR5jDvIzbR","Vegan On the Wall",1,"","","NA NA NA NA NA NA NA NA","vegan veganism JonVenus exvegan","NA NA","NA NA"
"Bromley, Kent",,,"2020-06-19 07:22:43","SweetLemonPot","Ozzie Anxiety the vegan talks about ex-vegan Jon Venus.

#vegan #veganism #JonVenus #exvegan  

https://t.co/OR5jDvIzbR","Twitter Web App",1,"","","NA NA NA NA NA NA NA NA","vegan veganism JonVenus exvegan","NA NA","NA NA"
"Manchester","xx84318583",,"2020-06-18 19:13:39","actorreactor","A final vlog on Jon Venus.

#ExVegan #hunting #vegan #vegans #plantbased #veganism #LGBTQ #ToxicMasculinity
#realmen

https://t.co/AgAeJBRIJc","Twitter for Android",4,"","","NA NA NA NA NA NA NA NA","ExVegan hunting vegan vegans plantbased veganism LGBTQ ToxicMasculinity realmen","NA NA","NA NA"
"Glasgow, Scotland",,,"2020-06-18 17:06:18","iamkasia_","â€œYou were never really a veganâ€ or â€œYou didnâ€™t do it right (AKA you forgot to cheat with animal foods when no one was looking) #exvegan #vegan #cheagan #meatismedicine #meatrxofficial @meat_rx https://t.co/0pQXOTjlH0","Twitter for iPhone",3,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"United Kingdom",,,"2020-06-18 07:20:21","orangebobevil","â€œYou were never really a veganâ€ or â€œYou didnâ€™t do it right (AKA you forgot to cheat with animal foods when no one was looking) #exvegan #vegan #cheagan #meatismedicine #meatrxofficial @meat_rx https://t.co/0pQXOTjlH0","Twitter for Android",3,"","","NA NA NA NA NA NA NA NA","","NA NA","NA NA"
"California, USA",,,"2020-06-18 01:13:30","SBakerMD","â€œYou were never really a veganâ€ or â€œYou didnâ€™t do it right (AKA you forgot to cheat with animal foods when no one was looking) #exvegan #vegan #cheagan #meatismedicine #meatrxofficial @meat_rx https://t.co/0pQXOTjlH0","Instagram",3,"","","NA NA NA NA NA NA NA NA","exvegan vegan cheagan meatismedicine meatrxofficial","NA NA","NA NA"
"Manchester, England","xx703489909",,"2020-06-17 19:36:20","JasonBromleyUK","A final vlog on Jon Venus.

#ExVegan #hunting #vegan #vegans #plantbased #veganism #LGBTQ #ToxicMasculinity
#realmen

https://t.co/AgAeJBRIJc","Twitter for Android",4,"","","NA NA NA NA NA NA NA NA","ExVegan hunting vegan vegans plantbased veganism LGBTQ ToxicMasculinity realmen","NA NA","NA NA"
"Oldham, England","xx711842424872693760",,"2020-06-17 18:35:49","VeganGuys","A final vlog on Jon Venus.

#ExVegan #hunting #vegan #vegans #plantbased #veganism #LGBTQ #ToxicMasculinity
#realmen

https://t.co/AgAeJBRIJc","Twitter for Android",4,"","","NA NA NA NA NA NA NA NA","ExVegan hunting vegan vegans plantbased veganism LGBTQ ToxicMasculinity realmen","NA NA","NA NA"
